state,state,period,combined-heat-and-pwr-comm,combined-heat-and-pwr-elect,combined-heat-and-pwr-indust,direct-use,elect-pwr-sector-gen-subtotal,electric-utilities,energy-only-providers,estimated-losses,facility-direct,full-service-providers,independent-power-producers,indust-and-comm-gen-subtotal,net-interstate-trade,net-trade-index,total-disposition,total-elect-indust,total-international-exports,total-international-imports,total-net-generation,total-supply,unaccounted
AK,AK,2022-01-01,339375,149377,114591,253661.0,6240162,6032387,0,324661,,6002080,58398,453966,0,1.0,6694128,6002080,0.0,0.0,6694128,6694128,113726
AK,AK,2021-01-01,352265,177115,110308,255217.0,6133245,5910717,0,280836,,5969339,45413,462573,0,1.0,6595818,5969339,0.0,0.0,6595818,6595818,90426
AK,AK,2020-01-01,319885,188212,117672,265880.0,5838884,5596841,0,329575,,5917577,53831,437557,0,1.0,6276441,5917577,0.0,0.0,6276441,6276441,-236591
AK,AK,2019-01-01,264992,186691,115743,243980.0,5690108,5447446,0,315518,,5818805,55971,380735,0,1.0,6070843,5818805,0.0,0.0,6070843,6070843,-307460
AK,AK,2018-01-01,328028,177819,110098,236992.0,5809233,5575087,0,308046,,5972467,56327,438126,0,1.0,6247989,5972467,0.0,630.0,6247359,6247989,-269516
AK,AK,2017-01-01,335453,180906,107854,232275.0,6054159,5822931,0,336498,,6185799,50322,443307,0,1.0,6498252,6185799,0.0,786.0,6497466,6498252,-256320
AK,AK,2016-01-01,321729,191982,111473,251325.0,5901831,5649381,0,319577,,6123202,60468,433202,0,1.0,6335249,6123202,0.0,215.0,6335034,6335249,-358855
AK,AK,2015-01-01,164763,198296,120889,256321.0,5999286,5746428,0,307256,,6159204,54562,285652,0,1.0,6284937,6159204,0.0,0.0,6284937,6284937,-437844
AK,AK,2014-01-01,171906,191062,117558,253513.0,5753366,5509991,0,321001,,6164812,52313,289464,0,1.0,6042830,6164812,0.0,0.0,6042830,6042830,-696497
AK,AK,2013-01-01,300144,187843,110723,260693.0,6085954,5851727,0,336726,,6268212,46384,410868,0,1.0,6497502,6268212,0.0,680.0,6496822,6497502,-368129
AK,AK,2012-01-01,277858,201405,87230,354337.0,6581331,6361802,0,347474,,6416411,18124,365088,0,1.0,6947691,6416411,0.0,1272.0,6946419,6947691,-170531
AK,AK,2011-01-01,275338,209150,112700,377445.0,6482994,6273844,0,390507,,6319540,0,388039,0,1.0,6872170,6319540,0.0,1137.0,6871033,6872170,-215323
AK,AK,2010-01-01,234386,204196,115944,342426.0,6409246,6205050,0,385928,,6247038,0,350330,0,1.0,6760633,6247038,0.0,1057.0,6759576,6760633,-214759
AK,AK,2009-01-01,216819,209379,109199,337332.0,6376141,6166762,0,399143,,6270171,0,326019,0,1.0,6703367,6270171,0.0,1208.0,6702159,6703367,-303279
AK,AK,2008-01-01,225098,177106,110483,328146.0,6439254,6262148,0,402966,0.0,6325944,0,335581,0,1.0,6776064,6325944,0.0,1230.0,6774834,6776064,-280991
AK,AK,2007-01-01,237621,210155,147405,266640.0,6436366,6146078,0,400427,0.0,6326610,80133,385025,0,1.0,6822693,6326610,0.0,1301.0,6821392,6822693,-170984
AK,AK,2006-01-01,230541,187376,187760,289065.0,6255896,6068520,0,400853,0.0,6182291,0,418301,0,1.0,6675436,6182291,0.0,1239.0,6674197,6675436,92003
AK,AK,2005-01-01,245324,173942,211245,329542.0,6120090,5946148,0,395171,0.0,5912571,0,456569,0,1.0,6577962,5912571,0.0,1303.0,6576659,6577962,269890
AK,AK,2004-01-01,269105,182145,209047,1079118.0,6048565,5866420,0,424157,0.0,5788484,0,478152,0,1.0,6527897,5788484,0.0,1180.0,6526717,6527897,314177
AK,AK,2003-01-01,229859,162478,272934,1077994.0,5835940,5673462,0,408531,0.0,5563682,0,502793,0,1.0,6339891,5563682,0.0,1159.0,6338732,6339891,366601
AK,AK,2002-01-01,156311,243668,895356,1064477.0,5715658,5471990,0,409964,0.0,5465489,0,1051667,0,1.0,6768265,5465489,0.0,940.0,6767325,6768265,891747
AK,AK,2001-01-01,153358,237307,936914,1041829.0,5653498,5416191,0,426528,0.0,5454080,0,1090272,0,1.0,6745008,5454080,0.0,1238.0,6743770,6745008,863358
AK,AK,2000-01-01,146670,223962,848205,1069864.0,5161649,4937687,0,413027,0.0,5309970,0,994875,0,1.0,6157772,5309970,0.0,1247.0,6156525,6157772,5738365
AK,AK,1999-01-01,152551,226975,813467,1050726.0,4836290,4609315,0,415217,0.0,5292615,0,966017,0,1.0,5803719,5292615,0.0,1412.0,5802307,5803719,5382159
AK,AK,1998-01-01,150828,211373,876375,1104129.0,4801643,4590270,0,362264,0.0,5094584,0,1027202,0,1.0,5829837,5094584,0.0,992.0,5828845,5829837,5461375
AK,AK,1997-01-01,225346,0,821497,1045859.0,5108003,5108003,0,364961,0.0,4840529,0,1046843,0,1.0,6156475,4840529,0.0,1629.0,6154846,6156475,5785627
AK,AK,1996-01-01,208927,0,937696,1145441.0,4982268,4982268,0,370998,0.0,4779562,0,1146624,0,1.0,6130077,4779562,0.0,1185.0,6128892,6130077,5753154
AK,AK,1995-01-01,229840,0,949354,1163688.0,4846922,4846922,0,353526,0.0,4631830,0,1179194,0,1.0,6027218,4631830,0.0,1102.0,6026116,6027218,5667897
AK,AK,1994-01-01,219421,0,984978,1186222.0,4762116,4762116,0,344384,0.0,4533379,0,1204399,0,1.0,5967824,4533379,0.0,1309.0,5966515,5967824,5617721
AK,AK,1993-01-01,211513,0,928717,1124748.0,4581047,4581047,0,350118,0.0,4374627,0,1140231,0,1.0,5722600,4374627,0.0,1322.0,5721278,5722600,5366983
AK,AK,1992-01-01,216258,0,915112,1130361.0,4167054,4167054,0,343009,0.0,4338934,0,1131370,0,1.0,5298954,4338934,0.0,530.0,5298424,5298954,4950476
AK,AK,1991-01-01,204537,0,898860,1102388.0,4286431,4286431,0,326774,0.0,4255713,0,1103397,0,1.0,5390491,4255713,0.0,663.0,5389828,5390491,5058359
AK,AK,1990-01-01,265533,0,840950,1106473.0,4493024,4493024,0,322955,0.0,4253840,0,1106482,0,1.0,5600415,4253840,0.0,909.0,5599506,5600415,5272100
AL,AL,2022-01-01,0,5032840,4511092,4896466.0,140277801,103494925,0,4707447,18578.0,87008967,31750036,4511092,48314688,1.5,144788893,87027545,0.0,0.0,144788893,144788893,-157254
AL,AL,2021-01-01,0,4031284,4956093,5344337.0,137777237,106804340,0,4026481,17209.0,85567957,26941613,4956093,47230739,1.49,142733330,85585166,0.0,0.0,142733330,142733330,546608
AL,AL,2020-01-01,0,2848326,4788458,5110676.0,132758918,102357230,0,4644657,17280.0,83378325,27553362,4788458,44521720,1.48,137547377,83395605,0.0,0.0,137547377,137547377,-125281
AL,AL,2019-01-01,0,3157136,4902592,5159502.0,137776841,102180494,0,4776859,18167.0,88076945,32439211,4902592,44428027,1.45,142679433,88095112,0.0,0.0,142679433,142679433,219933
AL,AL,2018-01-01,0,4864301,4622077,5037015.0,140435917,102665414,0,4656454,17976.0,90262480,32906202,4622077,44519671,1.44,145057994,90280456,0.0,0.0,145057994,145057994,564398
AL,AL,2017-01-01,0,4245625,4437372,4928261.0,135526878,101709381,0,4691415,876.0,86240854,29571872,4437372,43501825,1.45,139964250,86241730,0.0,0.0,139964250,139964250,601020
AL,AL,2016-01-01,0,4506703,4255021,4586964.0,138130077,97991203,0,4604565,657.0,88225141,35632171,4255021,43873694,1.45,142385098,88225141,0.0,0.0,142385098,142385098,1094734
AL,AL,2015-01-01,0,5332204,4216916,4551804.0,148260511,107868476,0,4432118,438.0,88845543,35059831,4216916,53263250,1.54,152477427,88845543,0.0,0.0,152477427,152477427,1384712
AL,AL,2014-01-01,0,4125833,3837837,5000379.0,145502610,112340555,0,4712003,219.0,90493727,29036222,3837837,47964280,1.47,149340447,90493727,0.0,0.0,149340447,149340447,1170058
AL,AL,2013-01-01,0,4014623,4147537,4608062.0,146425387,115027021,0,4719383,0.0,87852107,27383743,4147537,52068099,1.53,150572924,87852107,0.0,0.0,150572924,150572924,1325273
AL,AL,2012-01-01,0,4393369,4247306,5286916.0,148631382,108425247,0,4667126,0.0,86182548,35812766,4247306,55268345,1.57,152878688,86182548,0.0,0.0,152878688,152878688,1473752
AL,AL,2011-01-01,0,3773959,4306357,5157007.0,152032853,118834736,0,5499347,458868.0,88536501,29424158,4306357,56123696,1.56,156339210,88995369,0.0,0.0,156339210,156339210,563791
AL,AL,2010-01-01,0,4243149,4217849,5007573.0,147932663,122766490,0,5613291,0.0,90862645,20923024,4217849,49869705,1.49,152150512,90862645,0.0,0.0,152150512,152150512,797298
AL,AL,2009-01-01,0,4605863,4565712,4827750.0,138689844,118781555,0,5273674,417287.0,82427315,15302426,4565712,49562730,1.53,143255556,82844602,0.0,0.0,143255556,143255556,746799
AL,AL,2008-01-01,0,2569428,4562425,4726425.0,141307470,128054895,0,5714398,425598.0,89281681,10683147,4562425,44550279,1.44,145869895,89707279,0.0,0.0,145869895,145869895,1171515
AL,AL,2007-01-01,0,5705071,4646377,4620025.0,139179894,124273167,0,5812051,0.0,91828464,9201656,4646377,40102203,1.39,143826271,91828464,0.0,0.0,143826271,143826271,1463528
AL,AL,2006-01-01,0,4683179,4743686,6209972.0,136151755,124365180,0,5879439,0.0,90677695,7103396,4743686,39995621,1.4,140895441,90677695,0.0,0.0,140895441,140895441,4336476
AL,AL,2005-01-01,0,2173642,4650046,3540326.0,133298535,126303893,0,5961856,0.0,89201620,4821000,4650046,38526487,1.39,137948581,89201620,0.0,0.0,137948581,137948581,4255078
AL,AL,2004-01-01,0,1445678,5227446,6487857.0,132127325,124554606,0,6365524,0.0,86870519,6127041,5227446,39822338,1.41,137354771,86870519,0.0,0.0,137354771,137354771,4289902
AL,AL,2003-01-01,0,1310750,5266043,6481099.0,132221179,126845720,0,6156524,0.0,83844220,4064709,5266043,44129506,1.47,137487222,83844220,0.0,0.0,137487222,137487222,3350491
AL,AL,2002-01-01,0,1458857,5365177,6399833.0,127555493,123739223,0,6230830,0.0,83067078,2357413,5365177,40454195,1.44,132920670,83067078,0.0,0.0,132920670,132920670,3162167
AL,AL,2001-01-01,0,698013,5858092,6263673.0,119487030,118744284,0,6206090,0.0,79358258,44733,5858092,37513134,1.43,125345122,79358258,0.0,0.0,125345122,125345122,2261376
AL,AL,2000-01-01,0,549830,5776146,6277371.0,118629197,118037076,0,6496787,0.0,83524220,42291,5776146,30759648,1.33,124405343,83524220,0.0,0.0,124405343,124405343,87059106
AL,AL,1999-01-01,0,746941,5953085,6668570.0,114704423,113908581,0,6307636,0.0,80401079,48901,5953085,30252413,1.33,120657508,80401079,0.0,0.0,120657508,120657508,84010390
AL,AL,1998-01-01,0,842095,5621779,6441674.0,114240345,113393840,0,5629812,0.0,79173033,4410,5621779,31423683,1.36,119862125,79173033,0.0,0.0,119862125,119862125,82723015
AL,AL,1997-01-01,0,683325,5170528,5827652.0,114371803,113683627,0,5621134,0.0,74553869,4852,5170528,35978305,1.43,119542331,74553869,0.0,0.0,119542331,119542331,77862510
AL,AL,1996-01-01,0,670529,5703321,6339694.0,115769588,115093211,0,5674489,0.0,73104419,5847,5703321,39351180,1.48,121472909,73104419,0.0,0.0,121472909,121472909,76367796
AL,AL,1995-01-01,0,647195,4945610,5553211.0,100243757,99589284,0,5343282,0.0,70006764,7278,4945610,26383323,1.33,105189368,70006764,0.0,0.0,105189368,105189368,73387203
AL,AL,1994-01-01,0,692589,4885299,5524010.0,95878960,95171057,0,5133856,0.0,67580676,15314,4885299,24963948,1.33,100764259,67580676,0.0,0.0,100764259,100764259,70593349
AL,AL,1993-01-01,0,787844,4414607,5174420.0,94922390,94123557,0,5206804,0.0,65057675,10989,4414607,26034116,1.36,99336997,65057675,0.0,0.0,99336997,99336997,68025845
AL,AL,1992-01-01,0,778496,3638459,4379722.0,91595962,90792233,0,4914509,0.0,62166661,25233,3638459,25273664,1.36,95234421,62166661,0.0,0.0,95234421,95234421,64979701
AL,AL,1991-01-01,0,786954,2923624,3667285.0,85862988,85050801,0,4701328,0.0,61227325,25233,2923624,20206571,1.29,88786611,61227325,0.0,0.0,88786611,88786611,63813818
AL,AL,1990-01-01,0,665814,2726687,3379559.0,76925446,76231696,0,4549600,0.0,59925613,27936,2726687,12515999,1.19,79652133,59925613,0.0,0.0,79652133,79652133,62523229
AR,AR,2022-01-01,58078,1276484,1055814,1211942.0,64791139,58598394,0,2650355,,48997663,4916261,1113892,13133606,1.25,65905030,48997663,0.0,0.0,65905030,65905030,-88536
AR,AR,2021-01-01,65161,999324,1083567,1222791.0,59951340,54354374,0,2289429,35098.0,48628044,4597642,1148728,8613908,1.16,61100068,48663142,0.0,0.0,61100068,61100068,310798
AR,AR,2020-01-01,65451,1210637,1123372,863245.0,53452436,48634848,0,2553638,33765.0,45817238,3606951,1188823,5442252,1.11,54641259,45851003,0.0,0.0,54641259,54641259,-68880
AR,AR,2019-01-01,56171,1191544,1592068,1343547.0,62794660,57343374,0,2607791,22798.0,48070234,4259742,1648239,12278462,1.24,64442898,48093032,0.0,0.0,64442898,64442898,120066
AR,AR,2018-01-01,43584,1325509,1641771,1400990.0,66313997,59485255,0,2558391,15071.0,49587637,5503233,1685355,14127166,1.26,67999352,49602708,0.0,0.0,67999352,67999352,310097
AR,AR,2017-01-01,43304,1201212,1660195,1395048.0,59071717,54209258,0,2507003,14628.0,46071323,3661247,1703500,10466040,1.21,60775216,46085951,0.0,0.0,60775216,60775216,321173
AR,AR,2016-01-01,43313,1256411,1594982,1336249.0,58806764,43352105,0,2410625,12360.0,46176078,14198248,1638295,9936623,1.2,60445059,46188438,0.0,0.0,60445059,60445059,573125
AR,AR,2015-01-01,6294,1320374,1749893,1111439.0,53803241,39538137,0,2317944,451.0,46464703,12944730,1756187,4940702,1.1,55559428,46465154,0.0,0.0,55559428,55559428,724188
AR,AR,2014-01-01,7633,1089454,1780271,1925932.0,59804232,48752895,0,2451468,225.5,47080301,9961883,1787904,9525700,1.18,61592137,47080301,0.0,0.0,61592137,61592137,608735
AR,AR,2013-01-01,6336,1531003,1867867,2024920.0,58448289,46547772,0,2507796,0.0,46683034,10369514,1874203,8402516,1.16,60322492,46683034,0.0,0.0,60322492,60322492,704226
AR,AR,2012-01-01,6155,1500191,1942446,1979856.0,63057077,44603847,0,2537631,33463.0,46826104,16953039,1948601,12827308,1.25,65005678,46859567,0.0,0.0,65005678,65005678,801315
AR,AR,2011-01-01,5504,1452214,1930278,1958246.0,59371754,44714614,0,2961635,18864.0,47908965,13204926,1935782,8156201,1.15,61307536,47927829,0.0,0.0,61307536,61307536,303626
AR,AR,2010-01-01,5603,1220329,1934355,1938621.0,59060227,47108063,0,2977335,14015.0,48180270,10731835,1939958,7467050,1.14,61000185,48194285,0.0,0.0,61000185,61000185,422893
AR,AR,2009-01-01,2532,1361416,1884481,1916328.0,55570726,45423149,0,2748289,17331.0,43155773,8786161,1887013,9230836,1.19,57457739,43173104,0.0,0.0,57457739,57457739,389182
AR,AR,2008-01-01,3163,1285899,1941389,1987076.0,53105975,45880232,0,2938802,19396.0,46115285,5939844,1944553,3387482,1.07,55050528,46134681,0.0,0.0,55050528,55050528,602487
AR,AR,2007-01-01,2136,846958,1913082,1995012.0,52681017,45522928,0,2978220,0.0,47054891,6311131,1915219,1818168,1.03,54596236,47054891,0.0,0.0,54596236,54596236,749944
AR,AR,2006-01-01,3768,1150978,1979099,2054330.0,50185836,42068467,0,3023801,0.0,46635624,6966391,1982867,276970,1.01,52168703,46635624,0.0,0.0,52168703,52168703,2230254
AR,AR,2005-01-01,4243,1214876,2033112,2083209.0,45757153,40545220,0,3085467,110026.0,46054897,3997057,2037355,-3660114,0.93,47794509,46164923,0.0,0.0,47794509,47794509,2202150
AR,AR,2004-01-01,4483,1435953,2227771,2395564.0,49695379,45055455,0,3200136,255598.0,43416762,3203971,2232253,2896081,1.06,51927632,43672360,0.0,0.0,51927632,51927632,2156660
AR,AR,2003-01-01,7361,1549514,2177322,2393069.0,48216418,41636514,0,3165359,267217.0,42841042,5030391,2184683,2402445,1.05,50401101,43108259,0.0,0.0,50401101,50401101,1722645
AR,AR,2002-01-01,7937,1304071,2178947,2363063.0,45424760,42873364,0,3197926,183987.0,42449558,1247325,2186884,154852,1.0,47611644,42633545,0.0,0.0,47611644,47611644,1622958
AR,AR,2001-01-01,8608,538784,1916480,2312787.0,45266948,44728133,0,3263622,0.0,41732449,31,1925088,1004453,1.02,47192036,41732449,0.0,0.0,47192036,47192036,1189199
AR,AR,2000-01-01,9626,0,2379533,2357831.0,41486607,41486451,0,3236654,0.0,41611188,156,2389160,-2777102,0.94,43875767,41611188,0.0,0.0,43875767,43875767,43372246
AR,AR,1999-01-01,12477,0,2409434,2384181.0,44132028,44130705,0,3121512,0.0,39788746,1323,2421911,1815335,1.04,46553939,39788746,0.0,0.0,46553939,46553939,41574919
AR,AR,1998-01-01,41182,0,2422110,2416635.0,43202008,43198908,0,2795613,0.0,39315195,3100,2463292,1749928,1.04,45665300,39315195,0.0,0.0,45665300,45665300,41078027
AR,AR,1997-01-01,41799,0,2357719,2374581.0,42794081,42789637,0,2778945,0.0,36857530,4444,2399518,3882185,1.09,45193599,36857530,0.0,0.0,45193599,45193599,38493237
AR,AR,1996-01-01,40028,0,2315701,2317783.0,43677832,43677535,0,2804982,0.0,36136576,297,2355730,5440411,1.13,46033562,36136576,0.0,0.0,46033562,46033562,37749714
AR,AR,1995-01-01,48021,0,2397242,2384854.0,39526825,39526825,0,2646305,0.0,34671434,0,2445262,2943104,1.08,41972087,34671434,0.0,0.0,41972087,41972087,36345622
AR,AR,1994-01-01,47035,0,2436601,2425213.0,39548511,39547768,0,2477953,0.0,32619098,743,2483636,5445927,1.15,42032147,32619098,0.0,0.0,42032147,42032147,34073222
AR,AR,1993-01-01,48662,0,2399384,2394744.0,38050606,38049072,0,2534100,0.0,31662933,1534,2448046,4822988,1.14,40498652,31662933,0.0,0.0,40498652,40498652,33107506
AR,AR,1992-01-01,44830,0,2331314,2316191.0,37369959,37369823,0,2249168,0.0,28451112,136,2376143,7727644,1.24,39746102,28451112,0.0,0.0,39746102,39746102,29738523
AR,AR,1991-01-01,44957,0,2241153,2227895.0,38365135,38365135,0,2183780,0.0,28440257,0,2286110,8795107,1.28,40651245,28440257,0.0,0.0,40651245,40651245,29641691
AR,AR,1990-01-01,55375,0,1990787,2003697.0,37053436,37053436,0,2077595,0.0,27365296,0,2046162,8441119,1.28,39099598,27365296,0.0,0.0,39099598,39099598,28551515
AZ,AZ,2022-01-01,153927,47179,18601,223167.0,104526245,82574368,0,4554313,79333.0,84117184,21904698,172528,15873112,1.18,104698773,84196517,3803.0,0.0,104698773,104698773,-152139
AZ,AZ,2021-01-01,150887,52607,0,219707.0,108453733,86412437,0,3821114,86757.0,81133233,21988689,150887,22821613,1.27,108604620,81219990,3466.0,0.0,108604620,108604620,518729
AZ,AZ,2020-01-01,148740,108528,0,220728.0,109156317,91617412,0,4564706,92403.0,81867671,17430377,148740,22679474,1.26,109305057,81960074,3199.0,0.0,109305057,109305057,-123125
AZ,AZ,2019-01-01,152323,59620,0,233619.0,113399664,96645476,0,4225622,83432.0,77845738,16694568,152323,30966207,1.37,113551987,77929170,2815.0,0.0,113551987,113551987,194553
AZ,AZ,2018-01-01,153732,41296,0,198593.0,111771413,98448117,0,4040918,78040.0,78268262,13282000,153732,28883640,1.35,111994787,78346302,35544.0,69643.0,111925144,111994787,489790
AZ,AZ,2017-01-01,166143,13363,0,200818.0,105685622,91623406,0,4223835,72752.0,77573510,14048853,166143,23299188,1.28,105912378,77646262,1158.0,60613.0,105851765,105912378,541118
AZ,AZ,2016-01-01,165193,11206,0,226135.0,108598257,89821938,0,4083317,62722.0,78175106,18765113,165193,25375831,1.3,108897502,78237828,3584.0,134053.0,108763449,108897502,970807
AZ,AZ,2015-01-01,151447,27171,0,215920.0,112990600,94379325,0,3858626,53918.0,77295498,18584104,151447,30529437,1.37,113160387,77349416,1450.0,18339.0,113142048,113160387,1205538
AZ,AZ,2014-01-01,155794,61811,0,201071.0,112101393,94847135,0,3972816,85200.0,76212485,17192448,155794,30847567,1.38,112315535,76297685,9889.0,58348.0,112257187,112315535,986507
AZ,AZ,2013-01-01,157442,191953,0,228315.0,113168544,92740582,0,4064537,103929.0,75558108,20236010,157442,32236561,1.4,113359349,75662037,26517.0,33363.0,113325986,113359349,1141382
AZ,AZ,2012-01-01,120974,83912,192852,340733.0,110591167,92799750,0,4064977,26189.0,75037154,17707505,313826,30169213,1.37,110988314,75063343,66437.0,83320.0,110904994,110988314,1283610
AZ,AZ,2011-01-01,68293,82838,296157,399316.0,107760907,94061752,0,4631040,7795.0,74935850,13616317,364450,28103262,1.35,108622818,74943645,70782.0,497461.0,108125357,108622818,474772
AZ,AZ,2010-01-01,72359,187909,304160,408959.0,111374439,91232664,0,4499462,1293.0,72831737,19953866,376519,33439022,1.43,111999844,72833030,180279.0,248887.0,111750957,111999844,639093
AZ,AZ,2009-01-01,71842,301143,244801,344107.0,111654607,89640192,0,4674551,862.0,73432929,21713272,316643,32626672,1.41,112094234,73432929,354017.0,122984.0,111971250,112094234,661958
AZ,AZ,2008-01-01,69505,370153,349910,455943.0,119039757,94452931,0,4858304,431.0,76267916,24216673,419415,36618328,1.44,119547088,76267916,350592.0,87916.0,119459172,119547088,996006
AZ,AZ,2007-01-01,70600,1853067,382365,493500.0,112888005,88825573,0,4885749,0.0,77193206,22209365,452966,29540165,1.35,113564183,77193206,221286.0,223213.0,113340970,113564183,1230277
AZ,AZ,2006-01-01,72208,1959088,388734,268615.0,103931586,84355976,0,4749627,0.0,73252776,17616522,460943,22704459,1.28,104520074,73252776,309778.0,127546.0,104392528,104520074,3503165
AZ,AZ,2005-01-01,71835,1688843,412546,501869.0,100994273,82914964,0,4637778,0.0,69390686,16390466,484381,24060096,1.31,101581768,69390686,182646.0,103114.0,101478654,101581768,3310061
AZ,AZ,2004-01-01,51264,1873640,396639,374187.0,104116240,81351521,0,4904601,0.0,66933251,20891079,447903,29498352,1.39,104735473,66933251,93550.0,171330.0,104564143,104735473,3305345
AZ,AZ,2003-01-01,17433,1823205,356186,373797.0,94022599,80348246,0,4705242,0.0,64079560,11851148,373619,23034492,1.32,94451403,64079560,71059.0,55185.0,94396218,94451403,2560677
AZ,AZ,2002-01-01,18397,1153078,295841,369110.0,93817428,81710063,0,4695658,0.0,62600737,10954286,314238,24465961,1.35,94214312,62600737,68525.0,82646.0,94131666,94214312,2383062
AZ,AZ,2001-01-01,22802,458816,331913,361257.0,89556555,85807868,7450,4870649,0.0,62274304,3289871,354715,21038692,1.31,89966224,62281754,0.0,54954.0,89911270,89966224,1774768
AZ,AZ,2000-01-01,25338,424752,346695,368812.0,88574544,88149792,129170,4754895,0.0,61000875,0,372033,20460223,1.3,88993795,61130045,0.0,47217.0,88946578,88993795,63717177
AZ,AZ,1999-01-01,36167,434337,326745,363441.0,83530261,83095924,0,4523703,0.0,57661946,0,362912,19060974,1.29,83893173,57661946,0.0,0.0,83893173,83893173,60250471
AZ,AZ,1998-01-01,20228,410095,365506,385928.0,81709336,81299241,0,3970887,0.0,55843277,0,385735,19724756,1.32,82099071,55843277,0.0,4000.0,82095071,82099071,58347198
AZ,AZ,1997-01-01,18785,382526,363392,381862.0,78443024,78060498,0,4105804,0.0,54455835,0,382177,17906853,1.29,78988401,54455835,48360.0,163200.0,78825201,78988401,56872546
AZ,AZ,1996-01-01,21728,388256,367791,382802.0,71265299,70877043,0,4042890,0.0,52084539,0,389519,13147230,1.22,71654818,52084539,2641.0,0.0,71654818,71654818,54409590
AZ,AZ,1995-01-01,31967,398613,383822,390273.0,69365151,68966538,0,3708564,0.0,48588969,0,415789,15424142,1.28,70117456,48588969,567.0,336516.0,69780940,70117456,50935204
AZ,AZ,1994-01-01,33827,271485,425457,425142.0,71475213,71203728,0,3591843,0.0,47282035,0,459283,18902659,1.36,71934517,47282035,2488.0,21.0,71934496,71934517,49389819
AZ,AZ,1993-01-01,31290,0,412657,409151.0,68025039,68025039,0,3554122,0.0,44407854,0,443947,18433896,1.37,68468986,44407854,2255.0,0.0,68468986,68468986,46433895
AZ,AZ,1992-01-01,30083,0,413665,404400.0,70108979,70108979,0,3450798,0.0,43651272,0,443748,21429218,1.44,70552727,43651272,2166.0,0.0,70552727,70552727,45626490
AZ,AZ,1991-01-01,13441,0,421763,403937.0,66767347,66767347,0,3213322,0.0,41848417,0,435203,20437111,1.44,67311127,41848417,2177.0,108577.0,67202550,67311127,43616265
AZ,AZ,1990-01-01,30083,0,455232,446499.0,62288980,62288980,0,3148404,0.0,41469585,0,485315,16314712,1.35,62774295,41469585,2074.0,0.0,62774295,62774295,43267189
CA,CA,2022-01-01,2584942,12249285,12432562,13052857.0,188366353,65372954,85259226,13623971,2170901.0,164439009,110744114,15017504,-71503454,0.74,208018422,251869136,1431026.0,4634565.0,203383857,208018422,-455114
CA,CA,2021-01-01,2458070,12496170,13389479,13108353.0,181317557,62190174,74616540,11632235,2126722.0,170506603,106631213,15847548,-72740877,0.74,202062672,247249865,1233980.0,4897566.0,197165106,202062672,1579115
CA,CA,2020-01-01,2505739,12081197,13713500,12558137.0,176864299,67891454,70724016,13933295,1962172.0,177488484,96891648,16219239,-79969661,0.71,197377030,250174672,1056413.0,4293493.0,193083537,197377030,-375825
CA,CA,2019-01-01,2627180,13237744,13761865,12951845.0,185395159,82939810,66918218,13576506,1990410.0,181470082,89217606,16389045,-71031536,0.75,208456916,250378710,1956310.0,6672712.0,201784204,208456916,625080
CA,CA,2018-01-01,2779121,14910074,13566030,12859245.0,179120487,75238779,47954696,13163869,1924290.0,205345286,88971634,16345151,-86652863,0.7,201797027,255224272,5606943.0,6331389.0,195465638,201797027,1595562
CA,CA,2017-01-01,2867260,15865433,13515150,12794860.0,189764110,90422390,36314488,13994972,1936875.0,219016574,83476287,16382410,-65460858,0.77,220849038,257267937,459224.0,14702518.0,206146520,220849038,1792903
CA,CA,2016-01-01,2858960,16664260,13701715,12289369.0,180402541,81155619,29284561,13405104,1656884.0,225905190,82582662,16560674,-73378629,0.74,213931170,256846635,1581634.0,16967955.0,196963215,213931170,3187058
CA,CA,2015-01-01,2888734,17246706,14510816,11510704.0,179304309,71150169,28822648,13028657,1763967.0,230583822,90907434,17399549,-79443241,0.73,210486256,261170437,149197.0,13782398.0,196703858,210486256,4070502
CA,CA,2014-01-01,2802160,20207580,15184174,11180448.0,180821288,71037135,26993982,13672774,2664135.0,232926669,89576573,17986334,-79716562,0.73,211176926,262584786,60333.0,12369304.0,198807622,211176926,3395147
CA,CA,2013-01-01,2761572,16905498,15800404,12077629.0,181515139,78407643,25552182,14038685,4521789.0,231258488,86201998,18561976,-80363665,0.72,211087904,261332459,60525.0,11010789.0,200077115,211087904,3942270
CA,CA,2012-01-01,2894426,18163487,15400490,10750313.0,181223651,82486064,24193157,14055012,942213.0,234402668,80574100,18294916,-80660537,0.72,208393315,259538038,272295.0,8874748.0,199518567,208393315,4438193
CA,CA,2011-01-01,2880277,18656710,15652598,10195768.0,182271967,105360204,22120408,16186330,844917.0,238976375,58255052,18532875,-83293067,0.71,207074353,261941700,384207.0,6269511.0,200804842,207074353,1659416
CA,CA,2010-01-01,2300044,19582003,16009948,10073764.0,185815603,96939535,17576741,15971461,1454701.0,239499450,69294065,18309992,-79646642,0.72,207599179,258530892,401156.0,3473583.0,204125596,207599179,2268548
CA,CA,2009-01-01,2243754,21008878,15632805,10035114.0,186899573,85123706,16923930,16524428,2076259.0,240583487,80766990,17876559,-81178433,0.72,207823280,259583676,518488.0,3047148.0,204776132,207823280,2340007
